소재지도로명주소,소재지지번주소,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,총 임대 농기계,,,
대구광역시 군위군 효령면 효우로 97,대구광역시 군위군 효령면 성리 111-2,131,37,22,35,23,3,0,5,256,,,
대구광역시 군위군 산성면 산성가음로 998,대구광역시 군위군 산성면 화전리 269외,36,18,10,13,4,2,0,0,83,,,
충청남도 서산시 인지면 무학재1길 99,충청남도 서산시 인지면 산동리 565-1,100,11,19,45,54,7,0,0,236,,,
충청남도 서산시 운산면 홍안벌로 501,충청남도 서산시 운산면 거성리 340-19,89,11,14,45,41,6,0,0,206,,,
충청남도 서산시 성연면 생동사동길 21,충청남도 서산시 성연면 오사리 386-1,79,7,13,39,35,5,0,0,178,,,
충청남도 서산시 대산읍 대산1로 70,충청남도 서산시 대산읍 대산리 91-24,75,10,12,35,40,4,0,0,176,,,
경기도 파주시 월롱면 통일로620번길 35,경기도 파주시 월롱면 영태리 379-2,74,4,40,12,39,1,0,1,171,,,
경기도 파주시 파평면 청송로 503-5,경기도 파주시 파평면 덕천리 479,126,3,31,19,38,1,0,1,219,,,
전라남도 무안군 일로읍 백련로 112,전라남도 무안군 일로읍 용산리 1363,37,0,21,0,12,18,0,1,89,,,
전라남도 무안군 해제면 현해로 1605,전라남도 무안군 해제면 양매리 431-35,48,0,18,3,11,17,0,1,98,,,
경상북도 청송군 청송읍 주왕산로 172-9,경상북도 청송군 청송읍 송생리 715,115,8,57,6,21,5,8,9,229,,,
경상북도 청송군 안덕면 안덕로 47,경상북도 청송군 안덕면 명당리 368,34,5,22,4,15,4,3,0,87,,,
경상북도 청송군 진보면 양정길 47,경상북도 청송군 진보면 각산리 501-1,57,4,33,5,6,5,4,1,115,,,
경상남도 김해시 전하로198번길 102(전하동),경상남도 김해시 전하동 900,75,6,15,10,6,5,0,0,117,,,
경상남도 김해시 한림면 한림로618번길 36,경상남도 김해시 한림면 장방리 1403,102,5,34,13,7,0,0,4,165,,,
경상남도 김해시 대동면 동남로41번길 25-15,경상남도 김해시 대동면 초정리 952-670,30,3,17,5,4,4,0,2,65,,,
충청북도 보은군 보은읍 남부로 4737,충청북도 보은군 보은읍 강산리 55-1,160,101,155,81,90,2,7,7,603,,,
경상남도 하동군 적량면 한옥정길 91,경상남도 하동군 적량면 동산리 1694,110,31,54,28,24,10,3,14,274,,,
경기도 안성시 보개면 보개원삼로 219,경기도 안성시 보개면 불현리 189-2,38,2,27,12,20,14,0,0,113,,,
경기도 안성시 죽산면 상삼로 95,경기도 안성시 죽산면 두현리 456-6,69,3,40,14,23,16,0,0,165,,,
경기도 안성시 양성면 만세로 523-34,경기도 안성시 양성면 덕봉리 88-35,63,2,36,16,19,19,0,0,155,,,
경기도 안성시 서운면 안성맞춤대로 237-23,경기도 안성시 서운면 송산리 205-5번지,61,2,23,14,18,21,0,0,139,,,
경상남도 남해군 이동면 남해대로 2465-9,경상남도 남해군 이동면 다정리 953,48,23,29,3,0,0,3,0,106,,,
경상남도 남해군 삼동면 동부대로 1740-20,경상남도 남해군 삼동면 금송리 706-10,22,10,15,2,0,4,1,0,54,,,
경상남도 남해군 고현면 남해대로 3264-55,경상남도 남해군 고현면 도마리 1891-1,28,8,24,4,0,0,1,0,65,,,
경기도 평택시 오성면 청오로 33-58,경기도 평택시 오성면 숙성리 95-3,188,26,82,36,35,0,0,0,367,,,
경기도 평택시 진위면 신리길 150,경기도 평택시 진위면 마산리 257,82,15,24,15,26,0,0,0,162,,,
전라남도 여수시 주동1길 32,전라남도 여수시 주삼동 775,52,0,35,9,5,9,4,2,116,,,
강원특별자치도 고성군 간성읍 간성북로 87,강원특별자치도 고성군 간성읍 신안리 390,62,7,21,10,31,6,2,6,145,,,
강원특별자치도 고성군 토성면 천금길 144,,80,5,24,10,29,3,3,0,154,,,
