소재지도로명주소,소재지지번주소,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,총 임대 농기계,,,
충청북도 음성군 소이면 한불로 584-1,충청북도 음성군 소이면 금고리 853,34,4,16,5,15,1,3,0,78,,,
경상남도 김해시 한림면 한림로618번길 36,경상남도 김해시 한림면 장방리 1403,30,3,17,5,4,4,0,2,65,,,
경상남도 김해시 대동면 동남로41번길 25-15,경상남도 김해시 대동면 초정리 952-670,102,5,34,13,7,0,0,4,165,,,
경상남도 밀양시 상남면 상남로 1008-18,경상남도 밀양시 상남면 기산리 1052-3,119,5,13,21,34,1,0,0,193,,,
경상남도 거제시 거제면 거제남서로 3585,경상남도 거제시 거제면 서정리 976-13,39,7,22,11,4,0,2,0,85,,,
경상남도 양산시 동면 양산대로 618,경상남도 양산시 동면 석산리 392,104,3,21,10,11,0,2,0,151,,,
경상남도 의령군 의령읍 의합대로 69,경상남도 의령군 의령읍 무전리 249-7,110,18,15,81,33,11,0,3,271,,,
충청남도 예산군 봉산면 효교냉천길 20,충청남도 예산군 봉산면 효교리 156-4,106,5,12,12,38,6,0,0,179,,,
경상남도 산청군 단성면 목화로909,경상남도 산청군 단성면 사월리 22,61,18,16,5,5,9,0,1,115,,,
경상남도 산청군 산청읍 정곡척지로3번길62,경상남도 산청군 산청읍 병정리326-1,107,29,35,6,11,11,0,5,204,,,
경상남도 진주시 집현면 신당길207번길 22,경상남도 진주시 집현면 신당리 95-1,56,16,40,12,15,0,1,0,140,,,
경상남도 진주시 문산읍 문정로 471-9,경상남도 진주시 문산읍 두산리 777,82,20,61,20,22,0,1,0,206,,,
경상남도 진주시 진성면 동부로 1605,경상남도 진주시 진성면 천곡리 1151-6,53,10,15,7,6,0,0,0,91,,,
부산광역시 기장군 기장읍 반송로 1370-22,부산광역시 기장군 기장읍 만화리 333-28,58,8,29,3,2,2,2,0,104,,,
인천광역시 계양구 살라리로 2번길 33,인천광역시 계양구 서운동 207-1,18,11,8,0,4,1,0,0,42,,,
인천광역시 중구 공항서로 587,인천광역시 중구 을왕동 488-5,16,10,7,0,3,0,0,0,36,,,
강원특별자치도 동해시 초구길 2-1,강원특별자치도 동해시 초구동 110,6,6,53,4,8,0,5,0,82,,,
강원특별자치도 동해시 이원길 77-5,강원특별자치도 동해시 이도동 657-4,5,8,23,4,12,1,4,0,57,,,
강원특별자치도 평창군 용평면 새터마을길 4-21,강원특별자치도 평창군 용평면 백옥포리 181-5,85,8,28,12,24,13,2,2,174,,,
강원특별자치도 평창군 진부면 오대천로 1970-6,강원특별자치도 평창군 진부면 하진부리 351,77,6,30,10,17,16,0,1,157,,,
강원특별자치도 평창군 대관령면 솔재길 12,강원특별자치도 평창군 대관령면 용산리 1-74,66,6,30,4,8,4,0,1,119,,,
전북특별자치도 남원시 이백로 309,전북특별자치도 남원시 이백면 서곡리 429,115,28,42,36,25,2,2,0,250,,,
경상북도 김천시 조마면 용호로 110-10,경상북도 김천시 조마면 강곡리 12-1,45,8,4,8,11,0,5,0,81,,,
경상남도 함양군 안의면 거함대로 1712,경상남도 함양군 안의면 교북리 37,27,11,15,8,5,1,0,0,67,,,
경상남도 함양군 함양읍 고운로 539,경상남도 함양군 함양읍 백천리 405-1,38,15,22,10,10,1,0,1,97,,,
경상남도 함양군 백전면 백현길 28-2,경상남도 함양군 백전면 경백리 507,15,9,8,2,2,0,0,0,36,,,
경상남도 함양군 휴천면 천왕봉로 2426,경상남도 함양군 휴천면 남호리 372,15,8,7,8,3,1,0,0,42,,,
충청남도 태안군 태안읍 송암로 523,충청남도 태안군 태안읍 송암리 770-2,93,45,37,83,56,0,0,0,314,,,
경상북도 의성군 금성면 탑운길 115,경상북도 의성군 금성면 탑리리 990,47,16,5,12,28,0,0,0,108,,,
경상북도 의성군 안계면 서부로 1800,경상북도 의성군 안계면 시안리 367-2,75,8,6,10,19,1,0,0,119,,,
경상북도 의성군 점곡면 동변길 159,경상북도 의성군 점곡면 동변리 1075-1,35,12,4,11,24,0,0,0,86,,,
경상북도 의성군 다인면 비안다인로 1786-5,경상북도 의성군 다인면 도암리 971-1,54,1,0,6,19,0,0,0,80,,,
경상북도 경주시 서악2길 14(서악동),경상북도 경주시 서악동 1153,133,12,75,13,28,0,0,1,262,,,
경상북도 경주시 양북면 감은로 288-11,경상북도 경주시 양북면 어일리 430-17,53,5,24,3,14,0,0,1,100,,,
경상북도 경주시 안강읍 안현로 1294-42,경상북도 경주시 안강읍 갑산리 927,85,11,41,9,16,4,0,1,167,,,
경상북도 경주시 시동로 303,경상북도 경주시 시동 998-81,51,7,23,6,11,1,0,2,101,,,
광주광역시 남구 용곡동 회농길 229,광주광역시 남구 석정동 389-4,31,8,25,11,9,9,0,0,93,,,
충청북도 영동군 영동읍 학산영동로 1065,충청북도 영동군 영동읍 부용리 610,101,11,84,18,21,16,8,8,267,,,
충청북도 영동군 매곡면 민주지산로 3894,충청북도 영동군 매곡면 노천리 379-1,46,2,29,4,15,4,3,0,103,,,
충청북도 영동군 학산면 서산로 88,충청북도 영동군 학산면 서산리 844-1,47,3,24,4,12,7,2,0,99,,,
인천광역시 옹진군 대청면 대청로 186,인천광역시 옹진군 대청면 대청리 454-9,10,9,16,4,1,0,2,1,43,,,
인천광역시 옹진군 덕적면 덕적남로 867번길 70,인천광역시 옹진군 덕적면 서포리 868,20,15,37,7,9,0,1,0,89,,,
인천광역시 옹진군 자월면 자월서로 88,인천광역시 옹진군 자월면 자월리 1065-12,11,3,15,2,2,0,0,0,33,,,
인천광역시 옹진군 자월면 승봉로67번길 90,인천광역시 옹진군 자월면 승봉리 771-7,9,3,11,2,1,0,0,0,26,,,
인천광역시 옹진군 영흥면 영흥남로 435번길 29,인천광역시 옹진군 영흥면 외리 728-2,19,11,48,5,5,0,0,0,88,,,
경상북도 김천시 봉산면 봉산2로 30,경상북도 김천시 봉산면 신리 205,30,3,4,5,9,0,6,0,57,,,
경상북도 김천시 지례면 지례로 40,경상북도 김천시 지례면 상부리 111,33,4,4,6,10,0,5,0,62,,,
경상북도 김천시 감문면 감문로 1043,경상북도 김천시 감문면 보광리 393,42,3,4,8,10,0,8,0,75,,,
경상북도 김천시 구성면 남김천대로 3296-22,경상북도 김천시 구성면 하강리 56,11,0,0,0,9,0,10,0,30,,,
경상북도 김천시 초곡길 25(율곡동),경상북도 김천시 율곡동 6-1691,32,3,4,8,14,0,4,0,65,,,
강원특별자치도 영월군 북면 영월로 1315,,249,20,42,37,82,2,17,10,459,,,
강원특별자치도 영월군 주천면 금용강변로 26-15,,56,5,8,11,23,1,6,0,110,,,
울산광역시 울주군 청량읍 청량천변로 211,울산광역시 울주군 청량읍 문죽리 252,89,21,51,14,11,0,0,0,186,,,
전북특별자치도 무주군 무주읍 한풍루로 416,전북특별자치도 무주군 무주읍 당산리 530,116,21,83,44,33,0,11,4,312,,,
경상북도 고령군 대가야읍 일량본길 139,경상북도 고령군 대가야읍 내곡리 772,466,30,59,92,20,18,15,0,700,,,
전라남도 영광군 군서면 복호로 57-25,전라남도 영광군 군서면 만곡리 95-60,176,29,67,40,55,2,5,10,384,,,
전라남도 영광군 홍농읍 상단길 195,전라남도 영광군 홍농읍 상하리 1185-5,78,18,18,10,14,0,1,4,143,,,
경기도 포천시 신북면 틀못이길 11-88,경기도 포천시 신북면 기지리 647-1,50,27,49,15,29,20,15,8,213,,,
경기도 포천시 영북면 호국로 4147-21,경기도 포천시 영북면 자일리 845-6,36,1,18,5,4,6,0,0,70,,,
광주광역시 광산구 용곡동 기곡길9,광주광역시 광산구 용곡동 32-6,49,11,51,22,24,16,0,0,173,,,
광주광역시 북구 용강길 126,광주광역시 북구 용강동 332-1,41,8,25,17,14,6,0,0,111,,,
강원특별자치도 정선군 임계면 송계4길 24,강원특별자치도 정선군 임계면 송계리 955,49,1,39,8,27,6,2,0,132,,,
강원특별자치도 정선군 신동읍 의림로 420,강원특별자치도 정선군 신동읍 예미리 319-2,30,1,26,1,36,1,0,0,95,,,
강원특별자치도 정선군 화암면 그림바위길 17,강원특별자치도 정선군 화암면 화암리 401-1,31,0,12,3,16,1,1,0,64,,,
강원특별자치도 삼척시 근덕면 맹방해변로49,강원특별자치도 삼척시 근덕면 교가리 424-85,46,12,46,4,16,10,3,3,140,,,
강원특별자치도 삼척시 원덕읍 산양서원 1길16-36,강원특별자치도 삼척시 원덕읍 산양리 777-3,50,13,43,6,15,6,3,2,138,,,
강원특별자치도 삼척시 미로면 강원남부로 3922,강원특별자치도 삼척시 미로면 하거노리 434,43,15,55,11,22,14,3,3,166,,,
강원특별자치도 삼척시 하장면 백두대간로2681-10,강원특별자치도 삼척시 하장면 장전리 84-24,23,4,38,3,11,6,0,1,86,,,
경상남도 고성군 고성읍 남해안대로 2829-60,,190,35,107,38,23,6,15,3,417,,,
