시군별,2023년 농가,2023년 귀농 인구,귀농 비율,정곡_10a당_생산량_kg,현미_10a당_생산량_kg,조곡_10a당_생산량_kg,10a당 총 쌀 생산량,종합 점수,유통망 수,미곡처리장 수,총 임대 농기계 수,총저수량,총 저수량 규모별 (개)
전남 영암군,6917,98.0,0.0141679919040046,493,531,676,1700,0.6500755790451688,0.0,0.0,435,23506.0,224.0
전남 무안군,7172,98.0,0.0136642498605688,492,530,637,1659,0.6404493053495403,0.0,0.0,449,11811.0,179.0
전남 함평군,5522,97.0,0.017566099239406,496,533,639,1668,0.6500952368066262,0.0,0.0,173,20794.0,159.0
전남 영광군,6048,80.0,0.0132275132275132,489,526,639,1654,0.6119026503882009,1.0,0.0,741,34338.0,196.0
전남 장성군,6079,90.0,0.0148050666227998,479,515,619,1613,0.619283632525147,0.0,2.0,384,131145.0,122.0
전남 완도군,3341,45.0,0.0134690212511224,474,510,642,1626,0.5530804539898287,0.0,0.0,93,5114.0,49.0
전남 진도군,4579,46.0,0.0100458615418213,473,509,611,1593,0.5377885230696758,0.0,0.0,506,19725.0,134.0
전남 신안군,6825,105.0,0.0153846153846153,492,530,647,1669,0.6552157325233049,1.0,0.0,1283,14082.0,246.0
전북 전주시,6551,0.0,0.0,500,538,658,1696,0.4851396703522083,0.0,0.0,70,5059.0,49.0
전북 군산시,6558,36.0,0.0054894784995425,520,560,688,1768,0.5644240416791368,2.0,6.0,517,26107.0,97.0
전북 익산시,10674,78.0,0.0073074761101742,518,558,692,1768,0.6446804691465108,1.0,5.0,296,9364.0,134.0
전북 정읍시,10396,101.0,0.0097152751058099,525,565,701,1791,0.6808631598920925,1.0,0.0,782,34228.0,223.0
전북 남원시,7375,85.0,0.0115254237288135,549,591,728,1868,0.6717115633830266,5.0,30.0,957,21520.0,278.0
전북 김제시,7608,119.0,0.0156414300736067,541,583,712,1836,0.7173861205558244,0.0,0.0,708,24958.0,123.0
전북 완주군,7392,115.0,0.0155573593073593,484,521,636,1641,0.6622401508064314,0.0,0.0,575,118933.0,173.0
전북 진안군,3457,69.0,0.0199595024587792,502,540,662,1704,0.6314379967725823,1.0,1.0,139,17783.0,140.0
전북 무주군,3995,56.0,0.0140175219023779,535,576,705,1816,0.619867424150428,4.0,0.0,312,11230.0,75.0
전북 장수군,3504,49.0,0.0139840182648401,541,583,704,1828,0.6130718754612126,4.0,1.0,604,69705.0,79.0
전북 임실군,3349,83.0,0.0247835174679008,500,539,670,1709,0.6704971475926863,0.0,0.0,400,276049.0,193.0
전북 순창군,4793,91.0,0.0189860212810348,495,532,650,1677,0.6487836878940909,0.0,0.0,391,21342.0,171.0
전북 고창군,7946,129.0,0.0162345834382079,527,567,692,1786,0.7192861056660472,1.0,0.0,425,49478.0,345.0
전북 부안군,6857,88.0,0.0128336007000145,508,547,663,1718,0.6395282524085996,0.0,0.0,804,34570.0,95.0
제주 제주시,17170,137.0,0.0079790331974373,0,0,0,0,0.3044770389546667,0.0,0.0,293,2749.0,9.0
제주 서귀포시,13186,106.0,0.0080388290611254,395,426,555,1376,0.5930731324473418,21.0,0.0,84,1552.0,2.0
세종시,6573,0.0,0.0,0,0,0,0,0.0545243019648397,0.0,0.0,466,0.0,0.0
충남 천안시,9876,58.0,0.0058728230052652,518,557,688,1763,0.6119748299945365,8.0,11.0,494,13195.0,71.0
충남 공주시,10101,87.0,0.0086130086130086,536,577,712,1825,0.6692453805049247,0.0,0.0,544,20933.0,80.0
충남 보령시,6822,79.0,0.0115801817648783,533,574,704,1811,0.6479475609017892,2.0,0.0,192,31354.0,98.0
충남 아산시,8556,101.0,0.0118045815801776,546,588,726,1860,0.6945809815331621,5.0,0.0,467,26974.0,44.0
충남 서산시,10623,121.0,0.0113903793655276,542,583,723,1848,0.7233819303453691,0.0,0.0,796,30737.0,50.0
충남 논산시,9599,103.0,0.0107302844046254,541,582,721,1844,0.69494565414772,0.0,0.0,445,41076.0,75.0
충남 계룡시,480,14.0,0.0291666666666666,541,582,721,1844,0.6482790959967304,0.0,0.0,73,118.0,7.0
충남 당진시,10695,111.0,0.0103786816269284,569,613,755,1937,0.7327291875851835,0.0,0.0,824,7003.0,41.0
충남 금산군,6235,103.0,0.0165196471531676,519,559,686,1764,0.6789623053893492,2.0,0.0,247,7256.0,91.0
충남 부여군,7119,103.0,0.0144683242028374,535,576,728,1839,0.6930903028631428,17.0,0.0,599,23279.0,107.0
충남 서천군,6741,90.0,0.0133511348464619,551,593,721,1865,0.6804169394205707,0.0,0.0,199,27486.0,19.0
충남 청양군,5569,65.0,0.0116717543544622,544,586,731,1861,0.6383368054722259,0.0,0.0,557,26999.0,90.0
충남 홍성군,9365,92.0,0.0098238120662039,546,588,730,1864,0.6836685049605427,0.0,4.0,363,11658.0,44.0
충남 예산군,8486,107.0,0.0126090030638699,548,590,742,1880,0.7080821288405752,1.0,0.0,669,62491.0,32.0
충남 태안군,6895,99.0,0.0143582306018854,528,568,701,1797,0.6772480454903785,0.0,0.0,690,13103.0,49.0
충북 청주시,17457,96.0,0.0054992266712493,512,551,683,1746,0.7020997663318548,0.0,4.0,403,17841.0,174.0
충북 충주시,10001,63.0,0.0062993700629937,530,570,708,1808,0.6308827901947254,9.0,33.0,450,23732.0,71.0
충북 제천시,6300,59.0,0.0093650793650793,565,608,746,1919,0.6417210361971785,3.0,0.0,378,5953.0,52.0
충북 보은군,4434,63.0,0.0142083897158322,514,553,683,1750,0.6135264857588185,1.0,0.0,603,29502.0,61.0
충북 옥천군,5256,81.0,0.0154109589041095,499,537,664,1700,0.6296061845076105,1.0,0.0,339,16364.0,88.0
충북 영동군,6567,92.0,0.0140094411451195,484,521,644,1649,0.6290288192094996,0.0,0.0,469,10195.0,75.0
충북 증평군,1397,9.0,0.0064423765211166,501,539,655,1695,0.4848762820952792,0.0,10.0,241,3190.0,14.0
충북 진천군,4479,40.0,0.0089305648582272,514,553,692,1759,0.5667138700649754,2.0,0.0,529,54871.0,50.0
충북 괴산군,5696,94.0,0.016502808988764,502,540,663,1705,0.6518226497932087,0.0,0.0,638,17073.0,73.0
충북 음성군,6662,59.0,0.0088561993395376,508,547,662,1717,0.5909773431162192,4.0,0.0,440,34666.0,73.0
충북 단양군,3288,74.0,0.0225060827250608,565,608,746,1919,0.7032321548911259,0.0,0.0,501,519.0,16.0
강원 춘천시,14340,51.0,0.0035564853556485,499,537,653,1689,0.6130316195826566,5.0,0.0,425,9662.0,24.0
강원 원주시,19586,67.0,0.0034208107832124,523,563,694,1780,0.6934171012772387,0.0,0.0,405,11623.0,84.0
강원 강릉시,14787,44.0,0.0029755866639615,528,568,698,1794,0.6341906972800576,1.0,1.0,525,30149.0,14.0
강원 동해시,3713,0.0,0.0,507,546,668,1721,0.4670091248197692,0.0,2.0,139,21.0,1.0
강원 태백시,1379,0.0,0.0,0,0,0,0,0.0097638745260255,0.0,0.0,97,,
강원 속초시,2441,0.0,0.0,507,546,666,1719,0.455617279960933,0.0,0.0,506,1364.0,6.0
강원 삼척시,7444,22.0,0.0029554003224073,507,546,668,1721,0.5342016478070757,1.0,0.0,530,1630.0,5.0
강원 홍천군,14183,102.0,0.0071917083832757,502,540,656,1698,0.676850217246805,6.0,0.0,933,11917.0,39.0
강원 횡성군,11670,101.0,0.0086546700942587,528,568,693,1789,0.6857356096550289,0.0,0.0,683,6230.0,52.0
강원 영월군,6915,66.0,0.0095444685466377,507,546,668,1721,0.6035983237573331,0.0,0.0,569,62.0,5.0
강원 평창군,8270,66.0,0.0079806529625151,507,546,668,1721,0.6063392426335045,7.0,0.0,859,1204.0,5.0
강원 정선군,4080,37.0,0.0090686274509803,507,546,668,1721,0.5525206084327399,0.0,0.0,469,0.0,0.0
강원 철원군,7533,22.0,0.0029204832072215,559,602,733,1894,0.5788476526999139,0.0,0.0,797,44735.0,18.0
강원 화천군,3663,22.0,0.006006006006006,500,538,657,1695,0.5125084964246873,0.0,0.0,659,26.0,4.0
강원 양구군,3964,26.0,0.0065590312815338,486,523,640,1649,0.5098238060468495,0.0,0.0,506,2851.0,13.0
강원 인제군,5754,36.0,0.0062565172054223,502,540,656,1698,0.5444120768542615,2.0,1.0,371,123.0,2.0
강원 고성군,4569,17.0,0.0037207266360253,508,547,666,1721,0.5098016506845024,2.0,0.0,443,12503.0,16.0
강원 양양군,5410,41.0,0.0075785582255083,507,546,666,1719,0.5583377146280436,0.0,0.0,197,3688.0,10.0
